geoid,school_id,school,sat_g11,transit_min_median
17031030104,609755,YOUNG HS,1297.0,66.9
17031030200,609680,PAYTON HS,1334.0,46.3
17031030200,609749,NORTHSIDE PREP HS,1303.0,40.3
17031030200,609678,JONES HS,1276.0,48.4
17031030200,609720,LANE TECH HS,1256.0,42.5
17031030200,609694,HANCOCK HS,1078.0,86.7
17031030200,609726,BROOKS HS,1111.0,88.0
17031030200,609751,KING HS,939.0,80.3
17031030200,610547,SOUTH SHORE INTL HS,901.0,73.0
17031030200,610391,LINDBLOM HS,1046.0,84.8
17031030200,609693,WESTINGHOUSE HS,1005.0,78.5
17031030200,609755,YOUNG HS,1297.0,67.2
17031030300,609680,PAYTON HS,1334.0,54.7
17031030300,609720,LANE TECH HS,1256.0,41.4
17031030300,609749,NORTHSIDE PREP HS,1303.0,34.5
17031030300,609678,JONES HS,1276.0,56.8
17031030300,609726,BROOKS HS,1111.0,96.4
17031030300,609694,HANCOCK HS,1078.0,94.0
17031030300,609693,WESTINGHOUSE HS,1005.0,76.8
17031030300,609751,KING HS,939.0,87.2
17031030300,610547,SOUTH SHORE INTL HS,901.0,80.6
17031030300,610391,LINDBLOM HS,1046.0,93.0
17031030300,609755,YOUNG HS,1297.0,63.1
17031030400,609720,LANE TECH HS,1256.0,37.5
17031030400,609680,PAYTON HS,1334.0,51.5
17031030400,609678,JONES HS,1276.0,53.1
17031030400,609749,NORTHSIDE PREP HS,1303.0,33.7
17031030400,609726,BROOKS HS,1111.0,94.3
17031030400,609694,HANCOCK HS,1078.0,91.4
17031030400,609693,WESTINGHOUSE HS,1005.0,72.2
17031030400,610547,SOUTH SHORE INTL HS,901.0,78.3
17031030400,609751,KING HS,939.0,87.0
17031030400,609755,YOUNG HS,1297.0,60.7
17031030400,610391,LINDBLOM HS,1046.0,90.0
17031030500,609680,PAYTON HS,1334.0,46.2
17031030500,609678,JONES HS,1276.0,48.2
17031030500,609749,NORTHSIDE PREP HS,1303.0,32.1
17031030500,609720,LANE TECH HS,1256.0,40.8
