geoid,school_id,school,sat_g11,drive_min,drive_mi
17031030200,609726,BROOKS HS,1111.0,37.3,22.7
17031030200,609749,NORTHSIDE PREP HS,1303.0,7.6,3.14
17031030200,609751,KING HS,939.0,27.7,15.08
17031030200,609755,YOUNG HS,1297.0,17.8,8.39
17031030200,610391,LINDBLOM HS,1046.0,31.9,18.34
17031030200,610547,SOUTH SHORE INTL HS,901.0,34.4,19.99
17031030300,609678,JONES HS,1276.0,20.1,10.19
17031030300,609680,PAYTON HS,1334.0,15.3,7.49
17031030300,609693,WESTINGHOUSE HS,1005.0,19.0,9.43
17031030300,609694,HANCOCK HS,1078.0,31.2,15.59
17031030300,609720,LANE TECH HS,1256.0,9.1,4.54
17031030300,609726,BROOKS HS,1111.0,36.8,22.57
17031030300,609749,NORTHSIDE PREP HS,1303.0,6.6,2.76
17031030300,609751,KING HS,939.0,27.2,14.95
17031030300,609755,YOUNG HS,1297.0,17.3,8.26
17031030300,610391,LINDBLOM HS,1046.0,31.4,18.21
17031030300,610547,SOUTH SHORE INTL HS,901.0,33.9,19.86
17031030400,609678,JONES HS,1276.0,20.2,9.7
17031030400,609680,PAYTON HS,1334.0,15.2,7.18
17031030400,609693,WESTINGHOUSE HS,1005.0,18.9,9.12
17031030400,609694,HANCOCK HS,1078.0,31.1,15.28
17031030400,609720,LANE TECH HS,1256.0,8.9,4.23
17031030400,609726,BROOKS HS,1111.0,36.7,22.26
17031030400,609749,NORTHSIDE PREP HS,1303.0,7.2,3.05
17031030400,609751,KING HS,939.0,27.1,14.64
17031030400,609755,YOUNG HS,1297.0,17.2,7.95
17031030400,610391,LINDBLOM HS,1046.0,31.2,17.9
17031030400,610547,SOUTH SHORE INTL HS,901.0,33.8,19.55
17031030500,609678,JONES HS,1276.0,18.6,9.46
17031030500,609680,PAYTON HS,1334.0,14.5,7.15
17031030500,609693,WESTINGHOUSE HS,1005.0,19.1,9.38
17031030500,609694,HANCOCK HS,1078.0,31.2,15.54
17031030500,609720,LANE TECH HS,1256.0,9.1,4.49
17031030500,609726,BROOKS HS,1111.0,36.9,22.52
17031030500,609749,NORTHSIDE PREP HS,1303.0,7.2,3.05
17031030500,609751,KING HS,939.0,26.8,13.72
17031030500,609755,YOUNG HS,1297.0,17.4,8.21
17031030500,610391,LINDBLOM HS,1046.0,31.4,18.16
17031030500,610547,SOUTH SHORE INTL HS,901.0,34.0,19.81
17031030601,609678,JONES HS,1276.0,18.2,9.25
17031030601,609680,PAYTON HS,1334.0,14.1,6.94
17031030601,609693,WESTINGHOUSE HS,1005.0,20.5,10.32
17031030601,609694,HANCOCK HS,1078.0,32.8,15.89
17031030601,609720,LANE TECH HS,1256.0,10.6,5.44
17031030601,609726,BROOKS HS,1111.0,38.1,23.12
17031030601,609749,NORTHSIDE PREP HS,1303.0,9.0,3.84
17031030601,609751,KING HS,939.0,26.3,13.51
17031030601,609755,YOUNG HS,1297.0,18.9,8.56
17031030601,610391,LINDBLOM HS,1046.0,32.6,18.76
17031030601,610547,SOUTH SHORE INTL HS,901.0,33.7,17.3
17031030603,609678,JONES HS,1276.0,17.8,9.12
17031030603,609680,PAYTON HS,1334.0,13.6,6.81
17031030603,609693,WESTINGHOUSE HS,1005.0,19.5,9.72
17031030603,609694,HANCOCK HS,1078.0,31.7,15.87
17031030603,609720,LANE TECH HS,1256.0,9.5,4.83
17031030603,609726,BROOKS HS,1111.0,37.3,22.86
17031030603,609749,NORTHSIDE PREP HS,1303.0,7.6,3.38
